,gene,rowsums,rank,norm_rank
445,TSHB,17.0,280.5,0.2522482014388489
446,SST,61.0,722.0,0.6492805755395683
447,AGRP,24.0,375.0,0.33723021582733814
448,PRL,117.0,940.0,0.8453237410071942
449,PRKACA,113.0,929.5,0.8358812949640287
450,LEPR,74.0,797.5,0.7171762589928058
451,VIP,35.0,501.0,0.4505395683453237
452,CNTN4,16.0,262.5,0.2360611510791367
453,POMC,94.0,858.0,0.7715827338129496
454,PRKCA,83.0,830.5,0.7468525179856115
455,BDNF,181.0,1038.5,0.9339028776978417
456,FSHB,25.0,389.0,0.3498201438848921
457,CGA,18.0,297.5,0.2675359712230216
458,LHB,14.0,233.0,0.20953237410071943
459,ADGRE2,12.0,195.0,0.17535971223021582
460,ADGRE5,9.0,139.0,0.125
461,LILRB2,64.0,749.5,0.6740107913669064
462,ICOSLG,48.0,630.5,0.5669964028776978
463,CD86,204.0,1060.5,0.9536870503597122
464,TNFRSF1A,179.0,1035.0,0.9307553956834532
465,MIF,71.0,785.0,0.7059352517985612
466,RETN,81.0,822.0,0.7392086330935251
467,SGTA,18.0,297.5,0.2675359712230216
468,HGF,200.0,1056.0,0.9496402877697842
469,NAMPT,43.0,572.0,0.5143884892086331
470,NR3C1,89.0,850.0,0.7643884892086331
471,IGFBP2,45.0,603.0,0.5422661870503597
472,PRKAB2,13.0,214.0,0.19244604316546762
473,HMGCR,58.0,697.5,0.627248201438849
474,FGF19,61.0,722.0,0.6492805755395683
475,FABP5,10.0,159.5,0.14343525179856115
476,MED1,47.0,622.5,0.5598021582733813
477,ANGPTL4,44.0,586.0,0.5269784172661871
478,INSR,95.0,861.0,0.7742805755395683
479,PDGFB,141.0,993.5,0.8934352517985612
480,SELE,135.0,985.5,0.8862410071942446
481,PRKAA1,22.0,356.0,0.32014388489208634
482,PYY,37.0,524.5,0.4716726618705036
483,PRKAA2,17.0,280.5,0.2522482014388489
484,LCN2,118.0,944.0,0.8489208633093526
485,FABP3,18.0,297.5,0.2675359712230216
486,HSPA1B,79.0,813.5,0.7315647482014388
487,IL2RA,141.0,993.5,0.8934352517985612
488,CDK8,20.0,328.5,0.2954136690647482
489,CXCL1,208.0,1062.0,0.9550359712230215
490,PPY,21.0,342.5,0.30800359712230213
491,MRC1,115.0,934.0,0.8399280575539568
492,C4B,70.0,781.5,0.7027877697841727
493,CCNC,16.0,262.5,0.2360611510791367
494,RARRES2,32.0,464.5,0.4177158273381295
495,CFD,33.0,476.5,0.4285071942446043
496,ADSL,20.0,328.5,0.2954136690647482
497,AK1,32.0,464.5,0.4177158273381295
