names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000148516,11.780336,5.6534433,4.9295772506888585e-32,6.1279666091780805e-30
ENSG00000024048,11.775675,2.380623,5.209873883637014e-32,6.446558693527072e-30
ENSG00000100030,11.753707,2.436042,6.758781683313325e-32,8.3247727971856e-30
ENSG00000008513,11.735611,3.3929303,8.371991142079222e-32,1.021801518890769e-29
ENSG00000121966,11.717119,4.5192647,1.0415327261684427e-31,1.2654386982058306e-29
ENSG00000170776,11.713643,1.9354361,1.0851515498311927e-31,1.312495687590872e-29
ENSG00000132549,11.679822,2.3017004,1.616344102064991e-31,1.9462087661231872e-29
ENSG00000122482,11.676424,2.6807134,1.682254728498784e-31,2.0075654095520377e-29
ENSG00000138814,11.650426,2.3245192,2.2831548072905046e-31,2.712610165068909e-29
ENSG00000173762,11.65003,9.120626,2.2937652615703796e-31,2.7132110589615097e-29
ENSG00000171634,11.647739,2.0610783,2.356278344016823e-31,2.774931132245426e-29
ENSG00000228655,11.646475,7.1526017,2.391489329995033e-31,2.8040995633055293e-29
ENSG00000145703,11.575988,2.3981662,5.4539539292372445e-31,6.367135519736923e-29
ENSG00000077984,11.505816,6.8507338,1.233164359086484e-30,1.433406762157194e-28
ENSG00000153815,11.499732,2.1983552,1.3232555366596835e-30,1.5314971730538431e-28
ENSG00000128585,11.463698,2.20969,2.007552418563536e-30,2.3135103000364593e-28
ENSG00000163513,11.461248,3.0561318,2.0651565156683822e-30,2.3697229744534925e-28
ENSG00000111913,11.459826,3.8833914,2.099353804231581e-30,2.398712723294561e-28
ENSG00000147168,11.450818,5.568467,2.3293723874422524e-30,2.627982267866047e-28
ENSG00000127314,11.432643,1.7414088,2.8723090060622176e-30,3.22696105112036e-28
ENSG00000185989,11.430272,4.789453,2.9518155317011136e-30,3.302466618404442e-28
ENSG00000167323,11.404591,3.030398,3.966396862386447e-30,4.364824678358135e-28
ENSG00000152520,11.388865,2.343008,4.751373229308762e-30,5.186143194315836e-28
ENSG00000114861,11.386889,2.3148253,4.860307448407087e-30,5.283567420938408e-28
ENSG00000196924,11.384361,2.8749118,5.003367117585095e-30,5.417153648156346e-28
ENSG00000147649,11.376222,3.888936,5.4928215224600884e-30,5.923202839340395e-28
ENSG00000103222,11.371955,4.0445113,5.7681221587955696e-30,6.195193923432793e-28
ENSG00000125772,11.345008,2.8946438,7.851873102333876e-30,8.36629542344313e-28
ENSG00000135362,11.308896,7.3014736,1.1857251791847449e-29,1.2534608970980151e-27
ENSG00000101096,11.287876,3.8480122,1.5063284181832554e-29,1.5737908309976106e-27
ENSG00000169057,11.247575,2.930576,2.3804668857499007e-29,2.4678732181185556e-27
ENSG00000172183,11.176298,3.6678946,5.326594560712046e-29,5.39714681319544e-27
ENSG00000172575,11.16239,6.587723,6.229390546370614e-29,6.288171637616442e-27
ENSG00000181722,11.151643,3.3661427,7.029602456628988e-29,7.06935788625262e-27
ENSG00000170242,11.128727,1.9478092,9.092462555669089e-29,9.109765376204131e-27
ENSG00000075539,11.120509,2.1233866,9.970169026144459e-29,9.952007751710217e-27
ENSG00000137075,11.105732,2.4317298,1.176495148017342e-28,1.1613996771843254e-26
ENSG00000153814,11.088901,4.1829605,1.420228414448686e-28,1.3867110238676972e-26
ENSG00000134480,11.085423,2.2746742,1.4765019918106675e-28,1.4364331515256607e-26
ENSG00000145734,11.081946,2.1840854,1.5349868792426784e-28,1.4879398084673343e-26
ENSG00000118058,11.0497055,2.8528264,2.1993447457130803e-28,2.1166525364566994e-26
ENSG00000010818,11.042436,2.1129458,2.3847915859852413e-28,2.2869299598317755e-26
ENSG00000120910,11.041171,3.3958604,2.418590751656361e-28,2.311088265933272e-26
ENSG00000051523,10.944923,2.6106493,7.027699018170998e-28,6.597928193598234e-26
ENSG00000204642,10.942632,3.950321,7.2076599078849835e-28,6.743305790474554e-26
ENSG00000185201,10.941684,3.4331656,7.283456682628345e-28,6.790558867543531e-26
ENSG00000152127,10.895456,3.4483407,1.211578228187178e-27,1.1217961036225488e-25
ENSG00000140470,10.891505,6.6429005,1.2653155125291437e-27,1.1675253205127162e-25
ENSG00000153201,10.877045,2.4480295,1.4829375490612673e-27,1.3636423332138387e-25
ENSG00000171843,10.856261,4.3478255,1.8621722307319736e-27,1.6949554768604822e-25
ENSG00000115306,10.813511,2.5584774,2.970771923232963e-27,2.694871517254334e-25
ENSG00000140455,10.806399,2.7686353,3.210248739893593e-27,2.9000455675638676e-25
ENSG00000153310,10.806162,2.0118763,3.218552676377165e-27,2.9000455675638676e-25
ENSG00000182162,10.7864065,7.112223,3.990895225155237e-27,3.5719842563547755e-25
ENSG00000059804,10.777241,3.8789353,4.40915464957279e-27,3.933229617796644e-25
ENSG00000245534,10.770524,4.0748224,4.742963869033538e-27,4.216997445278792e-25
ENSG00000130844,10.76839,3.4323907,4.8541524232794956e-27,4.301612102887054e-25
ENSG00000141293,10.743735,6.045353,6.342516130092031e-27,5.565454268271279e-25
ENSG00000211456,10.728722,3.19308,7.462160290891013e-27,6.5265949827594325e-25
ENSG00000180628,10.725877,3.3627584,7.695397219094487e-27,6.692744845146489e-25
ENSG00000134516,10.711179,3.6538906,9.0206036747421e-27,7.7881745746141525e-25
ENSG00000111348,10.698852,2.5321755,1.0304778282320438e-26,8.811898141993188e-25
ENSG00000127152,10.645749,8.420698,1.8251065259220028e-26,1.5459285592281292e-24
ENSG00000165714,10.643852,3.9378095,1.86265238823195e-26,1.5727697885665437e-24
