ID,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,SPOT_ID
SMYD2.12636.113,12636-113,3.0,SL019827,N-lysine methyltransferase SMYD2,SMYD2,Q9NRG4,56950,SMYD2,Human,RFU,Protein,SL019827
CRAT.12637.7,12637-7,3.0,SL019832,Carnitine O-acetyltransferase,CACP,P43155,1384,CRAT,Human,RFU,Protein,SL019832
INPP5B.12641.3,12641-3,3.0,SL019813,"Type II inositol 1,4,5-trisphosphate 5-phosphatase",I5P2,P32019,3633,INPP5B,Human,RFU,Protein,SL019813
ARRB1.12643.4,12643-4,3.0,SL011195,Beta-arrestin-1,ARRB1,P49407,408,ARRB1,Human,RFU,Protein,SL011195
ADSS2.12644.63,12644-63,3.0,SL019828,Adenylosuccinate synthetase isozyme 2,PURA2,P30520,159,ADSS2,Human,RFU,Protein,SL019828
RPE.12646.2,12646-2,3.0,SL013233,Ribulose-phosphate 3-epimerase,RPE,Q96AT9,6120,RPE,Human,RFU,Protein,SL013233
SETD2.12647.52,12647-52,3.0,SL016514,Histone-lysine N-methyltransferase SETD2,SETD2,Q9BYW2,29072,SETD2,Human,RFU,Protein,SL016514
MDH2.12649.80,12649-80,3.0,SL004917,"Malate dehydrogenase, mitochondrial",Malate dehydrogenase 2,P40926,4191,MDH2,Human,RFU,Protein,SL004917
GNAI3.12650.43,12650-43,3.0,SL008873,Guanine nucleotide-binding protein G(k) subunit alpha,GNAI3,P08754,2773,GNAI3,Human,RFU,Protein,SL008873
PDK2.12651.21,12651-21,3.0,SL019823,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",PDK2,Q15119,5164,PDK2,Human,RFU,Protein,SL019823
AHCYL1.12652.37,12652-37,3.0,SL019829,Adenosylhomocysteinase 2,SAHH2,O43865,10768,AHCYL1,Human,RFU,Protein,SL019829
CSNK1G2.12653.13,12653-13,3.0,SL010497,Casein kinase I isoform gamma-2,CSNK1G2,P78368,1455,CSNK1G2,Human,RFU,Protein,SL010497
NAPB.12655.30,12655-30,3.0,SL010994,Beta-soluble NSF attachment protein,SNAB,Q9H115,63908,NAPB,Human,RFU,Protein,SL010994
KLC1.12656.1,12656-1,3.0,SL019807,Kinesin light chain 1,KLC1,Q07866,3831,KLC1,Human,RFU,Protein,SL019807
TSTA3.12657.2,12657-2,3.0,SL010919,GDP-L-fucose synthase,FCL,Q13630,7264,TSTA3,Human,RFU,Protein,SL010919
PANK3.12658.72,12658-72,3.0,SL019818,Pantothenate kinase 3,PANK3,Q9H999,79646,PANK3,Human,RFU,Protein,SL019818
OLA1.12659.13,12659-13,3.0,SL008839,Obg-like ATPase 1,GTPB9,Q9NTK5,29789,OLA1,Human,RFU,Protein,SL008839
GABARAPL1.12661.44,12661-44,3.0,SL019788,Gamma-aminobutyric acid receptor-associated protein-like 1,GBRL1,Q9H0R8,23710,GABARAPL1,Human,RFU,Protein,SL019788
ECH1.12662.82,12662-82,3.0,SL004998,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",ECH1,Q13011,1891,ECH1,Human,RFU,Protein,SL004998
TST.12663.1,12663-1,3.0,SL011234,Thiosulfate sulfurtransferase,THTR,Q16762,7263,TST,Human,RFU,Protein,SL011234
PTPN13.12664.19,12664-19,3.0,SL014918,Tyrosine-protein phosphatase non-receptor type 13,PTN13,Q12923,5783,PTPN13,Human,RFU,Protein,SL014918
ILF2.12665.16,12665-16,3.0,SL014917,Interleukin enhancer-binding factor 2,ILF2,Q12905,3608,ILF2,Human,RFU,Protein,SL014917
GDA.12667.2,12667-2,3.0,SL009095,Guanine deaminase,GUAD,Q9Y2T3,9615,GDA,Human,RFU,Protein,SL009095
VPS4B.12668.7,12668-7,3.0,SL019834,Vacuolar protein sorting-associated protein 4B,VPS4B,O75351,9525,VPS4B,Human,RFU,Protein,SL019834
HECW1.12669.30,12669-30,3.0,SL019789,E3 ubiquitin-protein ligase HECW1,HECW1,Q76N89,23072,HECW1,Human,RFU,Protein,SL019789
RAD1.12670.15,12670-15,3.0,SL019800,Cell cycle checkpoint protein RAD1,RAD1,O60671,5810,RAD1,Human,RFU,Protein,SL019800
SULT1B1.12671.35,12671-35,3.0,SL019808,Sulfotransferase family cytosolic 1B member 1,ST1B1,O43704,27284,SULT1B1,Human,RFU,Protein,SL019808
DARS1.12675.14,12675-14,3.0,SL010893,"Aspartate--tRNA ligase, cytoplasmic",SYDC,P14868,1615,DARS1,Human,RFU,Protein,SL010893
