,names,scores,logfoldchanges,pvals,pvals_adj
266,FRG1,8.864851,0.889082,7.660621352915382e-19,2.4761105147165203e-17
267,SLC6A19,8.855412,1.5152458,8.3375293670689e-19,2.6852799940081194e-17
268,POLR2I,8.8391075,0.7586804,9.648614853143263e-19,3.0909843248897314e-17
269,PACSIN3,8.823662,1.4250025,1.1077685826185477e-18,3.5425025099482496e-17
270,ATP6V0A4,8.796631,1.2213911,1.4098562234194409e-18,4.46108190273562e-17
271,PYGB,8.770029,2.2145221,1.7862087218376824e-18,5.612554095307394e-17
272,LPCAT3,8.7578,1.5695748,1.9909740090917013e-18,6.223432795143487e-17
273,KRT18,8.748146,0.4477985,2.1688566153158317e-18,6.744396192040748e-17
274,KPNA3,8.743855,0.9451879,2.2528687781840993e-18,6.969595417380516e-17
275,AP001528.2,8.742998,3.52205,2.2700528041705213e-18,6.998747414704193e-17
276,VPS25,8.736991,0.66081744,2.3940187990649788e-18,7.343286234682986e-17
277,AL118496.1,8.711677,1.4093152,2.9941397476476583e-18,9.076017561104734e-17
278,OSBPL6,8.694084,2.2512605,3.4963699031840434e-18,1.0545238724720303e-16
279,PNMA5,8.680355,6.8158045,3.9453662696458526e-18,1.1879570290372722e-16
280,PTGES2,8.67778,1.731732,4.035677388164261e-18,1.213124622882177e-16
281,FUOM,8.672846,1.2111924,4.214515263419733e-18,1.2647753293018019e-16
282,GSTZ1,8.65311,1.3458229,5.0115025976947226e-18,1.4915422582841917e-16
283,JPT1,8.646029,0.5633712,5.332224797190298e-18,1.5843823137088008e-16
284,CDK5RAP2,8.644099,1.4954841,5.4231563562839084e-18,1.6087507901634304e-16
285,AP000812.3,8.640881,3.9398346,5.578122302833697e-18,1.6492953090804683e-16
286,VTI1B,8.635518,0.7439768,5.846168647723662e-18,1.7200896856499833e-16
287,HSPA8P9,8.634445,0.51699066,5.9012840673943536e-18,1.7334781667675008e-16
288,USP2,8.604411,2.7488759,7.670986927162234e-18,2.2460051983489945e-16
289,AK2,8.601836,0.7476303,7.845064226488641e-18,2.2932508652990133e-16
290,RGS10,8.59776,1.636116,8.1286923530066e-18,2.3684829608857357e-16
291,MTFP1,8.587248,0.9119789,8.90770781266504e-18,2.587108182113151e-16
292,SMIM19,8.585747,1.5310017,9.024849976303162e-18,2.616916305025785e-16
293,RAB25,8.580383,0.9924189,9.455760918691066e-18,2.72434670813917e-16
294,MRPL37,8.560646,0.45107028,1.1223650990414623e-17,3.2030026782138943e-16
295,NDUFA12,8.543913,0.6406765,1.2975183486839564e-17,3.679566185041484e-16
296,PPARGC1B,8.541768,1.9279335,1.3218406430931258e-17,3.742655861668386e-16
297,GSTO1,8.539408,1.5485842,1.3491150100892238e-17,3.801974737807694e-16
298,PAAF1,8.526965,2.2200625,1.5023734793611426e-17,4.220686615850089e-16
299,SRPK2,8.508301,0.956658,1.7650086707573435e-17,4.927816777984435e-16
300,SH3GLB2,8.491568,1.8364834,2.0386873821374525e-17,5.639534604943419e-16
301,TUBB4AP1,8.483416,1.6041918,2.1867867308673907e-17,6.030716433933373e-16
302,CD81,8.479553,1.1482965,2.2605957917896633e-17,6.224748961941736e-16
303,TM4SF5,8.4748335,4.523872,2.3541513551488676e-17,6.472480768516003e-16
304,KRT18P39,8.4641075,0.97101766,2.581219441559192e-17,7.064472511071561e-16
305,MT2A,8.448661,3.3241649,2.946623588242812e-17,8.040136616875545e-16
306,SGK1,8.445014,1.7672074,3.040087348578692e-17,8.257683045024893e-16
307,TNNC2,8.439436,2.8942292,3.1887171667551235e-17,8.622444200838891e-16
