target,trimester,term,df,df_res,sum_sq,sum_sq_res,f_value,pr_f,p_adj_by
C1r,Third,group,2,323,1388879.1669975063,1498258.3330024816,149.70982008195895,9.811972418476745e-47,1.8857790403285253e-44
C1s,Third,group,2,323,1070008.3926798904,1817128.6073200994,95.09858285300842,3.351977646796146e-33,9.554541725391802e-32
C2,Third,group,2,323,180814.0879652598,2706323.412034739,10.79009074692756,2.9095421117567865e-5,3.130718169068992e-4
C3,Third,group,2,323,860719.5066997434,2026417.9933002482,68.59700258860288,1.4833471852054192e-25,3.037318490003986e-24
C34 gp41 HIV Fragment,Third,group,2,323,782312.3379652537,2104825.1620347397,60.02562343907556,6.821695206131643e-23,1.274478821735327e-21
C3a,Third,group,2,323,206006.51129032252,2681130.9887096747,12.4089616335376,6.424897270407939e-6,7.09823357171153e-5
C3adesArg,Third,group,2,323,208240.0249379631,2678897.475062034,12.55395711875919,5.615817385000107e-6,6.229178669225185e-5
C3b,Third,group,2,323,336282.6636476391,2550854.836352358,21.290764729189686,2.0618246045318095e-9,2.5590031982348637e-8
C3d,Third,group,2,323,1059301.3776674857,1827836.1223325054,93.59546537191038,8.65706697138997e-33,2.404083019610327e-31
C4,Third,group,2,323,318220.7054590513,2568916.794540947,20.005569678569678,6.44369697462739e-9,7.856839924222155e-8
C4b,Third,group,2,323,1067361.3776674839,1819776.1223325068,94.72531284362124,4.2403809844597735e-33,1.1963886920195606e-31
C5,Third,group,2,323,232310.5526054562,2654826.9473945405,14.132052668292246,1.3072331586699952e-6,1.4821943538610184e-5
C5a,Third,group,2,323,157265.51910670055,2729871.980893297,9.303872677363067,1.1789146220028045e-4,0.0012323279821120567
"C5b, 6 Complex",Third,group,2,323,1517.6378411911428,2885619.862158809,0.08493790695251344,0.9185898293741267,1
C6,Third,group,2,323,181602.16054590372,2705535.3394540944,10.840275675009744,2.775859961644963e-5,2.991849197852013e-4
C7,Third,group,2,323,45277.6183622824,2841859.881637717,2.5730808942257313,0.07786346928659522,0.6879542418344711
C8,Third,group,2,323,32264.07990074437,2854873.420099254,1.8251768597814257,0.16284761694524133,1
C9,Third,group,2,323,962656.4725806352,1924481.027419355,80.78490673937677,3.55758966168123e-29,8.483739192916522e-28
CAD15,Third,group,2,323,220957.546029774,2666179.953970223,13.384184226076076,2.60406349183463e-6,2.9134525495050468e-5
CAMK1,Third,group,2,323,1264040.824937953,1623096.175062035,125.77356558657225,4.028220081748016e-41,2.113330036268206e-39
CAMK1D,Third,group,2,323,966684.2169975108,1920453.2830024809,81.29304806676534,2.5363495652265363e-29,6.085782774281899e-28
CAMK2A,Third,group,2,323,1364459.8590570572,1522677.6409429288,144.71892231979913,1.3356455535211909e-45,1.6835513266393829e-43
CAMK2B,Third,group,2,323,1188618.1861042064,1698518.8138957825,113.01719797588753,6.178450107106113e-38,2.3890854661116248e-36
CAMK2D,Third,group,2,323,1364916.3187344782,1522221.1812655097,144.81074642014823,1.2725133016117323e-45,1.6250794642001414e-43
CAPG,Third,group,2,323,1052687.481513635,1834450.018486352,92.67574834485298,1.5513298508995323e-32,4.241326051422359e-31
CATC,Third,group,2,323,1022482.4199751769,1864655.0800248147,88.55842165929879,2.1685184776849204e-31,5.605044301381585e-30
CATE,Third,group,2,323,1154748.1297766634,1732389.370223324,107.65006191124937,1.4988351955427745e-36,5.261197569114557e-35
CATZ,Third,group,2,323,569236.0944168689,2317901.405583126,39.66157880006834,3.9567610659878456e-16,6.038215015384402e-15
CBG,Third,group,2,323,483543.1707195984,2403594.329280397,32.48976797785793,1.391819911442891e-13,1.966310833488158e-12
CBPE,Third,group,2,323,825757.5941687266,2061379.9058312674,64.6944559229469,2.349779725888331e-24,4.6260049897826227e-23
CBX5,Third,group,2,323,650106.5266749323,2237030.9733250616,46.93372837030684,1.2780019921916289e-18,2.1112979386355864e-17
CCL28,Third,group,2,323,75872.63784118975,2811264.8621588093,4.358689633371138,0.013556229895458754,0.12331058828230011
CD109,Third,group,2,323,121326.00074441545,2765811.499255583,7.0844123417293074,9.746536406855213e-4,0.009603730020325775
CD22,Third,group,2,323,546728.042183619,2340409.4578163764,37.72697914792909,1.8842427567864386e-15,2.8135158210918016e-14
CD226,Third,group,2,323,1092075.413151353,1795062.086848635,98.25296880598401,4.659497504123218e-34,1.4022815767057844e-32
CD23,Third,group,2,323,1201865.0174937847,1685272.4825062023,115.17496567474623,1.7447367203605457e-38,6.997459593156501e-37
CD27,Third,group,2,323,1348257.4570719483,1538880.0429280405,141.49483601256992,7.380298469341274e-45,7.620297659960131e-43
CD30,Third,group,2,323,529998.1042183568,2357139.3957816376,36.312953737248556,5.952844057013572e-15,8.747371021691898e-14
CD30 Ligand,Third,group,2,323,1359352.454218351,1527785.0457816378,143.69522856793384,2.29381356908282e-45,2.7316582971301644e-43
CD36 ANTIGEN,Third,group,2,323,1213942.4169975072,1673195.0830024807,117.17205144620112,5.461055462165925e-39,2.2699462106258256e-37
CD39,Third,group,2,323,380840.5862282845,2506296.913771712,24.540490130240908,1.1974457403184052e-10,1.5383219556618512e-9
"CD40 ligand, soluble",Third,group,2,323,550378.6884615333,2336758.811538461,38.03822531774997,1.4643572763433196e-15,2.1983881992799208e-14
CD48,Third,group,2,323,1397708.9018610297,1489428.5981389568,151.55475591955616,3.777318832905451e-47,1.3456692236452215e-44
CD5L,Third,group,2,323,113193.69032257888,2773943.8096774193,6.590177105722395,0.0015659431468622728,0.015168203016731153
CD70,Third,group,2,323,1213491.1475185994,1673646.352481389,117.09691239949875,5.7041478455800373e-39,2.3659239458963674e-37
CD97,Third,group,2,323,623130.6042183563,2264006.895781637,44.450214691824335,8.85645335963325e-18,1.4231437342740666e-16
CDC37,Third,group,2,323,1168897.6183622722,1718239.8816377171,109.86647870469444,3.985996237944988e-37,1.459879043520639e-35
CDK1/cyclin B,Third,group,2,323,116886.45669975085,2770251.0433002478,6.814242630704354,0.0012628245054059468,0.012342968373615981
CDK2/cyclin A,Third,group,2,323,491437.97518609976,2395699.524813895,33.12904317527909,8.181406473937543e-14,1.1626075266451247e-12
CDK5/p35,Third,group,2,323,116907.84168734262,2770229.6583126555,6.81554194463646,0.0012612511153948219,0.01233380028081992
CDK8/cyclin C,Third,group,2,323,931935.2169975084,1955202.2830024804,76.97798782946013,4.591587062748814e-28,1.0473434546368419e-26
CDON,Third,group,2,323,1402631.999999986,1484505.500000001,152.5929462706589,2.2129237226728095e-47,1.3224259277090574e-44
CFC1,Third,group,2,323,933954.9018610327,1953182.5981389575,77.22458555297135,3.8857391975789973e-28,8.89474814528565e-27
CG073,Third,group,2,323,64556.416997517925,2822580.583002481,3.6937338150355936,0.02593591558614058,0.23297143598893136
CHK1,Third,group,2,323,134613.5013647629,2752523.998635236,7.898234667958729,4.4779466219124737e-4,0.004517828119179366
CHL1,Third,group,2,323,1114475.5782878313,1772661.9217121594,101.53532587851839,6.13181964015353e-35,1.954465186136714e-33
CHST2,Third,group,2,323,1342802.002977655,1544335.4970223338,140.42448930237538,1.3070165480041536e-44,1.255988249084078e-42
CHST6,Third,group,2,323,1258494.6766749285,1628642.8233250622,124.79525121907884,6.988415692738414e-41,3.5982657873767833e-39
CK-BB,Third,group,2,323,1182320.3990074333,1704817.100992556,112.00306726658899,1.1232270746811872e-37,4.241898805345374e-36
CK-MB,Third,group,2,323,1017250.0153846066,1869886.9846153846,87.85872025223266,3.4095459748097296e-31,8.766080585505648e-30
CK-MM,Third,group,2,323,104982.5668734475,2782154.933126552,6.0940835279106125,0.002523979152629983,0.024002308365034145
CK094,Third,group,2,323,214074.3900744398,2673062.609925558,12.933858664083012,3.949033351682971e-6,4.392899116759462e-5
CK2-A1:B,Third,group,2,323,1400050.0602977523,1487087.4397022333,152.0476057435881,2.929878486141663e-47,1.3224259277090574e-44
CK2-A2:B,Third,group,2,323,1389977.346029765,1497160.1539702225,149.9380949917211,8.716215919593834e-47,1.8282679080279924e-44
