target,trimester,central_cluster
P-Cadherin,Third,sPTD-specific
PAK3,Third,sPTD-specific
PAPP-A,Third,sPTD-specific
PDE4D,Third,sPTD-specific
PFD5,Third,sPTD-specific
PGCB,Third,sPTD-specific
PGP9.5,Third,sPTD-specific
PKC-Z,Third,sPTD-specific
PLXC1,Third,sPTD-specific
PPAC,Third,sPTD-specific
PPase,Third,sPTD-specific
PSA,Third,sPTD-specific
PSA1,Third,sPTD-specific
PSA6,Third,sPTD-specific
PSD7,Third,sPTD-specific
PSMA,Third,sPTD-specific
PSME1,Third,sPTD-specific
PTP-1B,Third,sPTD-specific
PTP-1C,Third,sPTD-specific
Periostin,Third,sPTD-specific
Peroxiredoxin-1,Third,sPTD-specific
Peroxiredoxin-6,Third,sPTD-specific
RAD51,Third,sPTD-specific
RASA1,Third,sPTD-specific
RS7,Third,sPTD-specific
SCF sR,Third,sPTD-specific
SHBG,Third,sPTD-specific
SHP-2,Third,sPTD-specific
SLPI,Third,sPTD-specific
SOD,Third,sPTD-specific
SP-D,Third,sPTD-specific
SPARCL1,Third,sPTD-specific
STK16,Third,sPTD-specific
STRATIFIN,Third,sPTD-specific
Semaphorin-6A,Third,sPTD-specific
Spondin-1,Third,sPTD-specific
TBK1,Third,sPTD-specific
TCCR,Third,sPTD-specific
TEC,Third,sPTD-specific
TFF3,Third,sPTD-specific
TGF-b R II,Third,sPTD-specific
TMA,Third,sPTD-specific
TSG-6,Third,sPTD-specific
TSLP,Third,sPTD-specific
TSLP R,Third,sPTD-specific
Testican-1,Third,sPTD-specific
Testican-2,Third,sPTD-specific
Thymidine kinase,Third,sPTD-specific
TrATPase,Third,sPTD-specific
TrkB,Third,sPTD-specific
Tropomyosin 2,Third,sPTD-specific
UBE2N,Third,sPTD-specific
ULBP-3,Third,sPTD-specific
VEGF sR2,Third,sPTD-specific
VEGF sR3,Third,sPTD-specific
VEGF-C,Third,sPTD-specific
Vasoactive Intestinal Peptide,Third,sPTD-specific
WFKN2,Third,sPTD-specific
WIF-1,Third,sPTD-specific
YES,Third,sPTD-specific
ZAP70,Third,sPTD-specific
complement factor H-related 5,Third,sPTD-specific
discoidin domain receptor 1,Third,sPTD-specific
eIF-5,Third,sPTD-specific
hnRNP A/B,Third,sPTD-specific
hnRNP A2/B1,Third,sPTD-specific
sICAM-1,Third,sPTD-specific
sICAM-2,Third,sPTD-specific
sICAM-5,Third,sPTD-specific
sRANKL,Third,sPTD-specific
sTie-1,Third,sPTD-specific
suPAR,Third,sPTD-specific
tau,Third,sPTD-specific
uPA,Third,sPTD-specific
40S ribosomal protein SA,Third,term-specific
ABL1,Third,term-specific
ACTH,Third,term-specific
ADAMTS-5,Third,term-specific
