term_description,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
Positive regulation of interleukin-1 production,Second,log2rfu,372,158.24845800697403,2,4.33e-35,9.684766666666667e-34,8.205385088308466e-33,Kruskal-Wallis
Regulation of interleukin-1 beta production,Second,log2rfu,372,158.24845800697403,2,4.33e-35,9.684766666666667e-34,8.205385088308466e-33,Kruskal-Wallis
Positive regulation of homotypic cell-cell adhesion,Second,log2rfu,372,158.24845800697403,2,4.33e-35,9.684766666666667e-34,8.205385088308466e-33,Kruskal-Wallis
Regulation of MHC class II biosynthetic process,Second,log2rfu,372,158.24845800697403,2,4.33e-35,9.684766666666667e-34,8.205385088308466e-33,Kruskal-Wallis
Regulation of interleukin-1 production,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.1122496e-33,9.423496297261046e-33,Kruskal-Wallis
Positive regulation of interleukin-1 production,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.1122496e-33,9.423496297261046e-33,Kruskal-Wallis
Regulation of interleukin-1 beta production,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.1122496e-33,9.423496297261046e-33,Kruskal-Wallis
Positive regulation of homotypic cell-cell adhesion,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.1122496e-33,9.423496297261046e-33,Kruskal-Wallis
Regulation of MHC class II biosynthetic process,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.1122496e-33,9.423496297261046e-33,Kruskal-Wallis
Cellular response to organonitrogen compound,Third,log2rfu,7824,157.85056509022252,2,5.29e-35,1.1268539682539682e-33,9.547231302573802e-33,Kruskal-Wallis
Protein autophosphorylation,Third,log2rfu,8476,157.45505134054474,2,6.44e-35,1.3610204724409449e-33,1.1531198916631416e-32,Kruskal-Wallis
Epithelial cell apoptotic process,Second,log2rfu,744,156.7672619132386,2,9.089999999999999e-35,1.9060593749999997e-33,1.6149022182316098e-32,Kruskal-Wallis
Lymphocyte activation,Second,log2rfu,7440,156.2417207834842,2,1.18e-34,2.38355223880597e-33,2.0194563969019489e-32,Kruskal-Wallis
Response to interleukin-1,Third,log2rfu,326,156.22800836189322,2,1.19e-34,2.38355223880597e-33,2.0194563969019489e-32,Kruskal-Wallis
Cellular response to interleukin-1,Third,log2rfu,326,156.22800836189322,2,1.19e-34,2.38355223880597e-33,2.0194563969019489e-32,Kruskal-Wallis
Positive regulation of steroid metabolic process,Third,log2rfu,326,156.22800836189322,2,1.19e-34,2.38355223880597e-33,2.0194563969019489e-32,Kruskal-Wallis
Positive regulation of steroid biosynthetic process,Third,log2rfu,326,156.22800836189322,2,1.19e-34,2.38355223880597e-33,2.0194563969019489e-32,Kruskal-Wallis
Fc-gamma receptor signaling pathway involved in phagocytosis,Second,log2rfu,1860,156.23967114204606,2,1.18e-34,2.38355223880597e-33,2.0194563969019489e-32,Kruskal-Wallis
Cellular oxidant detoxification,Third,log2rfu,326,155.4308008225023,2,1.77e-34,3.4931470588235294e-33,2.9595567734627053e-32,Kruskal-Wallis
Hydrogen peroxide metabolic process,Third,log2rfu,326,155.4308008225023,2,1.77e-34,3.4931470588235294e-33,2.9595567734627053e-32,Kruskal-Wallis
Protein kinase B signaling,Third,log2rfu,326,155.07823819803662,2,2.11e-34,4.103797101449275e-33,3.476927911704159e-32,Kruskal-Wallis
Positive regulation of nuclear division,Third,log2rfu,326,155.07823819803662,2,2.11e-34,4.103797101449275e-33,3.476927911704159e-32,Kruskal-Wallis
