term_description,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
Negative regulation of lymphocyte proliferation,Third,log2rfu,1956,19.40188463335653,2,6.12e-5,1.2294970059880238e-4,0.001041687,Kruskal-Wallis
Negative regulation of hemopoiesis,Second,log2rfu,1488,19.321042551033315,2,6.38e-5,1.2798146487294468e-4,0.001084319,Kruskal-Wallis
Negative regulation of leukocyte differentiation,Second,log2rfu,1488,19.321042551033315,2,6.38e-5,1.2798146487294468e-4,0.001084319,Kruskal-Wallis
Response to extracellular stimulus,Third,log2rfu,4564,19.299413387823734,2,6.44e-5,1.2908857356235995e-4,0.001093698,Kruskal-Wallis
Response to organic substance,Second,log2rfu,34968,19.255937520589214,2,6.59e-5,1.3199671641791046e-4,0.001118338,Kruskal-Wallis
Gland development,Third,log2rfu,4564,19.21018254156843,2,6.74e-5,1.3490052199850857e-4,0.00114294,Kruskal-Wallis
Nitrogen compound metabolic process,Third,log2rfu,43032,19.195812759018736,2,6.79e-5,1.358e-4,0.001150561,Kruskal-Wallis
Negative regulation of epithelial cell proliferation,Third,log2rfu,1304,19.19214181444977,2,6.8e-5,1.358987341772152e-4,0.001151397,Kruskal-Wallis
Cellular response to molecule of bacterial origin,Third,log2rfu,4564,19.154088480408973,2,6.93e-5,1.3839375e-4,0.001172536,Kruskal-Wallis
Regulation of MAP kinase activity,Third,log2rfu,2608,19.110323780145336,2,7.08e-5,1.4128416356877323e-4,0.001197025,Kruskal-Wallis
Negative regulation of cell motility,Third,log2rfu,5216,19.103163394058356,2,7.11e-5,1.4177741456166418e-4,0.001201204,Kruskal-Wallis
Cellular homeostasis,Second,log2rfu,4092,19.078345561003516,2,7.2e-5,1.4346547884187081e-4,0.001215506,Kruskal-Wallis
Regulation of developmental growth,Third,log2rfu,5868,19.060454193793703,2,7.26e-5,1.4455370919881308e-4,0.001224726,Kruskal-Wallis
Axon guidance,Third,log2rfu,4890,18.99953318984808,2,7.49e-5,1.4902268346923649e-4,0.00126259,Kruskal-Wallis
Regulation of myelination,Second,log2rfu,1116,18.95607160447662,2,7.65e-5,1.5209333333333336e-4,0.001288606,Kruskal-Wallis
Positive regulation of cellular component organization,Second,log2rfu,15996,18.92580378746061,2,7.77e-5,1.5436476683937825e-4,0.00130785,Kruskal-Wallis
Cellular response to toxic substance,Second,log2rfu,744,18.88083931313531,2,7.94e-5,1.575089430894309e-4,0.001334489,Kruskal-Wallis
Cellular detoxification,Second,log2rfu,744,18.88083931313531,2,7.94e-5,1.575089430894309e-4,0.001334489,Kruskal-Wallis
Cellular response to endogenous stimulus,Second,log2rfu,18228,18.820437960945128,2,8.19e-5,1.623483013293944e-4,0.00137549,Kruskal-Wallis
Phosphate-containing compound metabolic process,Third,log2rfu,24450,18.729469847370638,2,8.57e-5,1.6975557195571955e-4,0.001438248,Kruskal-Wallis
Positive regulation of hydrolase activity,Third,log2rfu,6846,18.725420287719317,2,8.59e-5,1.7002625368731564e-4,0.001440542,Kruskal-Wallis
Neuron projection morphogenesis,Second,log2rfu,8556,18.666904333687853,2,8.84e-5,1.7458837380426783e-4,0.001479194,Kruskal-Wallis
Cell projection morphogenesis,Second,log2rfu,8556,18.666904333687853,2,8.84e-5,1.7458837380426783e-4,0.001479194,Kruskal-Wallis
Cell part morphogenesis,Second,log2rfu,8556,18.666904333687853,2,8.84e-5,1.7458837380426783e-4,0.001479194,Kruskal-Wallis
Response to cytokine,Second,log2rfu,10044,18.66518044961049,2,8.85e-5,1.7465735294117647e-4,0.001479778,Kruskal-Wallis
Regulation of primary metabolic process,Third,log2rfu,44988,18.650906569237122,2,8.91e-5,1.7571227038941953e-4,0.001488716,Kruskal-Wallis
Positive regulation of leukocyte chemotaxis,Second,log2rfu,3348,18.63965528362496,2,8.96e-5,1.7656857562408222e-4,0.001495971,Kruskal-Wallis
Columnar/cuboidal epithelial cell differentiation,Third,log2rfu,2608,18.57,2,9.26e-5,1.8234658840792368e-4,0.001544925,Kruskal-Wallis
Negative regulation of mononuclear cell proliferation,Third,log2rfu,2282,18.571082727046814,2,9.28e-5,1.8260645161290325e-4,0.001547127,Kruskal-Wallis
Regulation of peptidase activity,Second,log2rfu,8928,18.568078441436228,2,9.29e-5,1.82669304029304e-4,0.001547659,Kruskal-Wallis
Defense response to bacterium,Third,log2rfu,4890,18.557836266585582,2,9.34e-5,1.8351800878477304e-4,0.00155485,Kruskal-Wallis
Positive regulation of neuron apoptotic process,Second,log2rfu,1488,18.553920965700854,2,9.36e-5,1.837764447695684e-4,0.00155704,Kruskal-Wallis
Positive regulation of leukocyte mediated immunity,Second,log2rfu,1488,18.52227054103423,2,9.5e-5,1.8625273922571222e-4,0.00157802,Kruskal-Wallis
Positive regulation of lymphocyte mediated immunity,Second,log2rfu,1488,18.52227054103423,2,9.5e-5,1.8625273922571222e-4,0.00157802,Kruskal-Wallis
Negative regulation of lymphocyte differentiation,Third,log2rfu,652,18.46138940366768,2,9.8e-5,1.91854121079504e-4,0.001625477,Kruskal-Wallis
Negative regulation of T cell differentiation,Third,log2rfu,652,18.46138940366768,2,9.8e-5,1.91854121079504e-4,0.001625477,Kruskal-Wallis
Neurogenesis,Third,log2rfu,16952,18.445730513318267,2,9.88e-5,1.9313852876911872e-4,0.00163636,Kruskal-Wallis
Regulation of muscle adaptation,Third,log2rfu,1956,18.444108944798245,2,9.88e-5,1.9313852876911872e-4,0.00163636,Kruskal-Wallis
Positive regulation of innate immune response,Second,log2rfu,3720,18.375726480699086,2,1.02e-4,1.99104e-4,0.001686902,Kruskal-Wallis
Endothelial cell migration,Third,log2rfu,978,18.382964123933107,2,1.02e-4,1.99104e-4,0.001686902,Kruskal-Wallis
Response to virus,Third,log2rfu,2282,18.246962096895913,2,1.09e-4,2.1261337209302326e-4,0.001801359,Kruskal-Wallis
Positive regulation of smooth muscle cell proliferation,Third,log2rfu,1304,18.22341687834796,2,1.1e-4,2.144081336238199e-4,0.001816566,Kruskal-Wallis
Ossification,Second,log2rfu,5208,18.21587739568531,2,1.11e-4,2.1620029027576197e-4,0.001831749,Kruskal-Wallis
Regulation of response to external stimulus,Second,log2rfu,19716,18.19501646014396,2,1.12e-4,2.1798984771573604e-4,0.001846911,Kruskal-Wallis
Positive regulation of leukocyte cell-cell adhesion,Second,log2rfu,5952,18.15131970683069,2,1.14e-4,2.2156118754525708e-4,0.00187717,Kruskal-Wallis
Positive regulation of T cell differentiation,Second,log2rfu,744,18.16323753246388,2,1.14e-4,2.2156118754525708e-4,0.00187717,Kruskal-Wallis
Regulation of epithelial cell migration,Third,log2rfu,5542,18.121212244772323,2,1.16e-4,2.252850940665702e-4,0.00190872,Kruskal-Wallis
Morphogenesis of an epithelium,Third,log2rfu,6194,18.087340438523825,2,1.18e-4,2.2883815028901732e-4,0.001938823,Kruskal-Wallis
Regulation of protein catabolic process,Second,log2rfu,4464,18.094203871130958,2,1.18e-4,2.2883815028901732e-4,0.001938823,Kruskal-Wallis
Phosphorylation,Third,log2rfu,19560,18.078099889586156,2,1.19e-4,2.3061083032490976e-4,0.001953842,Kruskal-Wallis
Regulation of cellular component organization,Second,log2rfu,25668,18.05137959998683,2,1.2e-4,2.3187904967602593e-4,0.001964587,Kruskal-Wallis
Hemopoiesis,Third,log2rfu,6846,18.061590221648657,2,1.2e-4,2.3187904967602593e-4,0.001964587,Kruskal-Wallis
Morphogenesis of a branching epithelium,Third,log2rfu,2282,18.062905279775805,2,1.2e-4,2.3187904967602593e-4,0.001964587,Kruskal-Wallis
Morphogenesis of a branching structure,Third,log2rfu,2282,18.062905279775805,2,1.2e-4,2.3187904967602593e-4,0.001964587,Kruskal-Wallis
Digestive tract development,Second,log2rfu,1860,18.013050195814685,2,1.23e-4,2.3733429187634798e-4,0.002010807,Kruskal-Wallis
Digestive system development,Second,log2rfu,1860,18.013050195814685,2,1.23e-4,2.3733429187634798e-4,0.002010807,Kruskal-Wallis
Myeloid cell homeostasis,Third,log2rfu,1304,17.98,2,1.25e-4,2.4102011494252874e-4,0.002042035,Kruskal-Wallis
Negative regulation of protein modification process,Third,log2rfu,5868,17.941867291301605,2,1.27e-4,2.445251076040172e-4,0.002071731,Kruskal-Wallis
Positive regulation of lipid transport,Third,log2rfu,652,17.94868195455433,2,1.27e-4,2.445251076040172e-4,0.002071731,Kruskal-Wallis
Negative regulation of secretion,Third,log2rfu,1304,17.914560875978623,2,1.29e-4,2.4802005730659025e-4,0.002101341,Kruskal-Wallis
Regulation of tau-protein kinase activity,Third,log2rfu,652,17.912057884387877,2,1.29e-4,2.4802005730659025e-4,0.002101341,Kruskal-Wallis
Cell morphogenesis involved in neuron differentiation,Second,log2rfu,7068,17.828595498587674,2,1.34e-4,2.574488188976378e-4,0.002181226,Kruskal-Wallis
Negative regulation of wound healing,Third,log2rfu,1630,17.822794468694156,2,1.35e-4,2.591845493562232e-4,0.002195932,Kruskal-Wallis
Response to cytokine,Third,log2rfu,8802,17.812775886955933,2,1.36e-4,2.609177984274482e-4,0.002210617,Kruskal-Wallis
Endodermal cell differentiation,Second,log2rfu,372,17.716250910389135,2,1.42e-4,2.722342857142857e-4,0.002306496,Kruskal-Wallis
Negative regulation of leukocyte proliferation,Third,log2rfu,2608,17.710282482617913,2,1.43e-4,2.7395574589578875e-4,0.002321081,Kruskal-Wallis
Positive regulation of MAPK cascade,Second,log2rfu,9300,17.651901863966486,2,1.47e-4,2.814179743223966e-4,0.002384304,Kruskal-Wallis
Cellular response to fibroblast growth factor stimulus,Second,log2rfu,2232,17.468965563807615,2,1.61e-4,3.08e-4,0.002609519,Kruskal-Wallis
Positive regulation of epithelial cell proliferation,Third,log2rfu,4890,17.44662206720386,2,1.63e-4,3.1160398860398863e-4,0.002640054,Kruskal-Wallis
Negative regulation of cell communication,Second,log2rfu,17112,17.359902825250174,2,1.7e-4,3.2452347083926033e-4,0.002749514,Kruskal-Wallis
Glucose homeostasis,Second,log2rfu,1860,17.35580064286023,2,1.7e-4,3.2452347083926033e-4,0.002749514,Kruskal-Wallis
Positive regulation of cytokine production,Third,log2rfu,8802,17.34,2,1.72e-4,3.281080312722104e-4,0.002779884,Kruskal-Wallis
Negative regulation of establishment of protein localization,Third,log2rfu,1304,17.31306112523771,2,1.74e-4,3.314520936834635e-4,0.002808216,Kruskal-Wallis
Negative regulation of protein transport,Third,log2rfu,1304,17.31306112523771,2,1.74e-4,3.314520936834635e-4,0.002808216,Kruskal-Wallis
Cellular response to reactive oxygen species,Third,log2rfu,1956,17.272954814262448,2,1.78e-4,3.38591070163005e-4,0.002868701,Kruskal-Wallis
Positive regulation of interleukin-8 production,Second,log2rfu,1860,17.27,2,1.78e-4,3.38591070163005e-4,0.002868701,Kruskal-Wallis
Response to vitamin D,Second,log2rfu,1116,17.256634523254434,2,1.79e-4,3.4025212464589233e-4,0.002882774,Kruskal-Wallis
Response to alcohol,Third,log2rfu,1630,17.248795275031625,2,1.8e-4,3.416690240452617e-4,0.002894779,Kruskal-Wallis
Cellular metal ion homeostasis,Second,log2rfu,2232,17.244062469924756,2,1.8e-4,3.416690240452617e-4,0.002894779,Kruskal-Wallis
Regulation of anatomical structure morphogenesis,Second,log2rfu,15996,17.169637163511652,2,1.87e-4,3.5470530035335685e-4,0.003005228,Kruskal-Wallis
Regulation of T cell activation,Second,log2rfu,7068,17.07956063430538,2,1.96e-4,3.7151412429378526e-4,0.003147641,Kruskal-Wallis
Entry into host,Second,log2rfu,1488,17.033815898850662,2,2e-4,3.785613540197461e-4,0.003207348,Kruskal-Wallis
Viral entry into host cell,Second,log2rfu,1488,17.033815898850662,2,2e-4,3.785613540197461e-4,0.003207348,Kruskal-Wallis
Fibroblast growth factor receptor signaling pathway,Second,log2rfu,1860,17.01,2,2.03e-4,3.8396899224806203e-4,0.003253164,Kruskal-Wallis
Regulation of cell-matrix adhesion,Third,log2rfu,3260,16.98527002534138,2,2.05e-4,3.874788732394366e-4,0.003282901,Kruskal-Wallis
Positive regulation of neutrophil migration,Second,log2rfu,2232,16.97899698603669,2,2.06e-4,3.890950035186488e-4,0.003296594,Kruskal-Wallis
Positive regulation of endothelial cell proliferation,Second,log2rfu,2232,16.96284598018792,2,2.07e-4,3.9070886075949366e-4,0.003310267,Kruskal-Wallis
Regulation of cytokine production,Second,log2rfu,13392,16.945959005701297,2,2.09e-4,3.942066057624737e-4,0.003339902,Kruskal-Wallis
Positive regulation of cell division,Third,log2rfu,2282,16.916997432163043,2,2.12e-4,3.9958426966292136e-4,0.003385464,Kruskal-Wallis
Regulation of mitotic nuclear division,Second,log2rfu,744,16.858031950276654,2,2.18e-4,4.1060491228070173e-4,0.003478836,Kruskal-Wallis
Liver development,Second,log2rfu,1116,16.826784826786024,2,2.22e-4,4.1784572230014024e-4,0.003540183,Kruskal-Wallis
Regulation of transforming growth factor beta production,Third,log2rfu,326,16.790910756705898,2,2.26e-4,4.247787114845938e-4,0.003598923,Kruskal-Wallis
Animal organ formation,Third,log2rfu,326,16.790910756705898,2,2.26e-4,4.247787114845938e-4,0.003598923,Kruskal-Wallis
Regulation of interleukin-2 production,Third,log2rfu,652,16.740466435684993,2,2.32e-4,4.3544615384615384e-4,0.003689302,Kruskal-Wallis
Positive regulation of interleukin-2 production,Third,log2rfu,652,16.740466435684993,2,2.32e-4,4.3544615384615384e-4,0.003689302,Kruskal-Wallis
Cell surface receptor signaling pathway,Second,log2rfu,37200,16.66,2,2.41e-4,4.5202236198462614e-4,0.003829744,Kruskal-Wallis
Chemical homeostasis,Second,log2rfu,5952,16.63,2,2.44e-4,4.5732960893854745e-4,0.003874709,Kruskal-Wallis
Cellular response to cytokine stimulus,Second,log2rfu,9300,16.561488369821745,2,2.53e-4,4.7353695955369604e-4,0.004012026,Kruskal-Wallis
Positive regulation of defense response,Second,log2rfu,7068,16.56584589252816,2,2.53e-4,4.7353695955369604e-4,0.004012026,Kruskal-Wallis
Regulation of neutrophil chemotaxis,Second,log2rfu,2232,16.549743235270398,2,2.55e-4,4.769477351916377e-4,0.004040923,Kruskal-Wallis
Regulation of cell-cell adhesion,Third,log2rfu,8476,16.515962857381965,2,2.59e-4,4.837550452331246e-4,0.004098598,Kruskal-Wallis
Negative regulation of angiogenesis,Third,log2rfu,1304,16.519358330870546,2,2.59e-4,4.837550452331246e-4,0.004098598,Kruskal-Wallis
Positive regulation of neurogenesis,Second,log2rfu,4464,16.47880632228953,2,2.64e-4,4.927510431154381e-4,0.004174816,Kruskal-Wallis
Cellular response to abiotic stimulus,Third,log2rfu,1956,16.473044371292417,2,2.65e-4,4.939305555555555e-4,0.00418481,Kruskal-Wallis
Response to radiation,Third,log2rfu,1956,16.473044371292417,2,2.65e-4,4.939305555555555e-4,0.00418481,Kruskal-Wallis
Positive regulation of leukocyte proliferation,Third,log2rfu,4238,16.467071446082628,2,2.66e-4,4.954503816793893e-4,0.004197686,Kruskal-Wallis
Positive regulation of growth,Second,log2rfu,5952,16.44296848140948,2,2.69e-4,5.006907073509015e-4,0.004242085,Kruskal-Wallis
Cellular chemical homeostasis,Second,log2rfu,3720,16.431625833190992,2,2.7e-4,5.022037422037423e-4,0.004254904,Kruskal-Wallis
Positive regulation of developmental process,Third,log2rfu,20212,16.41630073315173,2,2.72e-4,5.055734072022161e-4,0.004283453,Kruskal-Wallis
Cellular component disassembly,Second,log2rfu,2976,16.409839621677747,2,2.73e-4,5.070809688581316e-4,0.004296226,Kruskal-Wallis
Regulation of neurogenesis,Third,log2rfu,6194,16.402019914348784,2,2.74e-4,5.085864453665284e-4,0.004308981,Kruskal-Wallis
ERK1 and ERK2 cascade,Second,log2rfu,1116,16.384326649214017,2,2.77e-4,5.137995853489979e-4,0.004353149,Kruskal-Wallis
Negative regulation of lymphocyte proliferation,Second,log2rfu,2232,16.376511798728643,2,2.78e-4,5.152983425414364e-4,0.004365847,Kruskal-Wallis
Positive regulation of B cell activation,Second,log2rfu,2232,16.32999038358139,2,2.84e-4,5.260565907522429e-4,0.004456996,Kruskal-Wallis
Ovulation cycle process,Second,log2rfu,372,16.30180748211251,2,2.88e-4,5.330979310344828e-4,0.004516654,Kruskal-Wallis
Trachea development,Third,log2rfu,652,16.278368635146535,2,2.92e-4,5.401295658166781e-4,0.004576229,Kruskal-Wallis
Leukocyte chemotaxis,Third,log2rfu,1304,16.19909909884518,2,3.04e-4,5.619393939393939e-4,0.004761012,Kruskal-Wallis
Odontogenesis,Second,log2rfu,2232,16.18507661898093,2,3.06e-4,5.652470750172058e-4,0.004789036,Kruskal-Wallis
Regulation of catabolic process,Second,log2rfu,7440,16.152659532930556,2,3.11e-4,5.740880330123797e-4,0.004863941,Kruskal-Wallis
Response to bacterium,Third,log2rfu,10432,16.12112997812801,2,3.16e-4,5.829168384879725e-4,0.004938743,Kruskal-Wallis
Negative regulation of signaling,Second,log2rfu,17484,16.108637388504576,2,3.18e-4,5.862032967032966e-4,0.004966587,Kruskal-Wallis
Cellular response to organic cyclic compound,Third,log2rfu,4890,16.084258745573607,2,3.22e-4,5.931695264241592e-4,0.005025608,Kruskal-Wallis
Regulation of morphogenesis of a branching structure,Second,log2rfu,1860,16.049801778479377,2,3.27e-4,6.019670781893003e-4,0.005100145,Kruskal-Wallis
Positive regulation of T cell proliferation,Second,log2rfu,2232,16.043322066128894,2,3.28e-4,6.033941055517478e-4,0.005112236,Kruskal-Wallis
Regulation of cell cycle,Second,log2rfu,8556,16.019654169595015,2,3.32e-4,6.103342465753425e-4,0.005171036,Kruskal-Wallis
Cellular response to organic substance,Third,log2rfu,26406,15.985766341065755,2,3.38e-4,6.209390828199863e-4,0.005260885,Kruskal-Wallis
Negative regulation of cell differentiation,Second,log2rfu,9300,15.979472241324402,2,3.39e-4,6.223502051983583e-4,0.005272841,Kruskal-Wallis
Positive regulation of proteolysis,Second,log2rfu,6324,15.975263511511002,2,3.4e-4,6.237593984962407e-4,0.00528478,Kruskal-Wallis
Regulation of macrophage chemotaxis,Third,log2rfu,978,15.950162529822592,2,3.44e-4,6.306666666666666e-4,0.005343302,Kruskal-Wallis
Defense response to Gram-positive bacterium,Second,log2rfu,2604,15.942314481510039,2,3.45e-4,6.316371077762619e-4,0.005351524,Kruskal-Wallis
Positive regulation of macrophage activation,Second,log2rfu,372,15.945578434189429,2,3.45e-4,6.316371077762619e-4,0.005351524,Kruskal-Wallis
Regulation of canonical Wnt signaling pathway,Third,log2rfu,2608,15.93885933812362,2,3.46e-4,6.330361281526926e-4,0.005363377,Kruskal-Wallis
Astrocyte activation,Third,log2rfu,652,15.899699705678586,2,3.53e-4,0.000645403,0.005468157,Kruskal-Wallis
Regulation of interferon-gamma production,Second,log2rfu,2604,15.886381187504412,2,3.55e-4,6.486181075561607e-4,0.005495395,Kruskal-Wallis
Positive regulation of leukocyte cell-cell adhesion,Third,log2rfu,5216,15.872887000727133,2,3.57e-4,6.518285714285715e-4,0.005522595,Kruskal-Wallis
Branching involved in salivary gland morphogenesis,Third,log2rfu,652,15.85989283007575,2,3.6e-4,6.568592794017675e-4,0.005565218,Kruskal-Wallis
Response to toxic substance,Second,log2rfu,2232,15.846458736110435,2,3.62e-4,6.600597826086957e-4,0.005592334,Kruskal-Wallis
Regulation of ossification,Third,log2rfu,2934,15.735178461414762,2,3.83e-4,6.9787644263408e-4,0.005912734,Kruskal-Wallis
Regulation of synaptic plasticity,Third,log2rfu,2608,15.71,2,3.88e-4,7.065074626865671e-4,0.00598586,Kruskal-Wallis
Axonogenesis,Second,log2rfu,6324,15.683346614470793,2,3.93e-4,7.151267796610169e-4,0.006058887,Kruskal-Wallis
Positive regulation of smooth muscle cell migration,Third,log2rfu,1304,15.671282589564271,2,3.95e-4,7.182791327913279e-4,0.006085595,Kruskal-Wallis
Positive regulation of secretion,Second,log2rfu,2604,15.668766026533376,2,3.96e-4,7.196100203114421e-4,0.006096871,Kruskal-Wallis
Positive regulation of supramolecular fiber organization,Second,log2rfu,2604,15.663687491276505,2,3.97e-4,7.204516565246788e-4,0.006104002,Kruskal-Wallis
